File #,File Name,Rarity,Photo Name,Description,Image Type,Color,Location,File Format,Collector Count,Data Dropped,Score,Grade
107,Josh1-107,No-rarity,,2,Digital,Color,AUH,jpg,354,[15/01/2025],59.2,C
108,Josh1-108,No-rarity,,2,Digital,Black & White,AUH,jpg,1086,[21/12/2024],60.5,C
109,Josh1-109,No-rarity,,4,Digital,Color,AUH,jpg,302,[13/01/2025],58.9,C
110,Josh1-110,No-rarity,,4,Digital,Color,MNL,jpg,354,[16/01/2025],60,C
111,Josh1-111,No-rarity,,3,Digital,Black & White,AUH,jpg,263,[31/01/2025],61.3,C
112,1Josh1-112,No-rarity,,2,Digital,Color,AUH,jpg,58,[15/11/2025],56.2,C
113,Josh1-113,No-rarity,,4,Digital,Color,AUH,jpg,514,[07/01/2025],57.9,C
114,Josh1-114,No-rarity,,5,Digital,Color,AUH,jpg,146,[07/02/2025],58.8,C
115,Josh1-115,No-rarity,,0,Digital,Color,AUH,jpg,815,[29/12/2024],58,C
116,Josh1-116,No-rarity,,2,Digital,Color,N/A,jpg,347,[11/01/2025],55.6,C
117,Josh1-117,No-rarity,,1,Digital,Color,AUH,jpg,155,[12/02/2025],59.2,C
118,Josh1-118,No-rarity,,5,Digital,Color,AUH,jpg,488,[07/01/2025],57.3,C
119,Josh1-119,No-rarity,,5,Digital,Color,AUH,jpg,59,[15/11/2025],54.9,D
120,Josh1-120,No-rarity,,5,Digital,Color,RTM,jpg,858,[31/12/2024],55.2,C
121,Josh1-121,No-rarity,,5,Digital,Color,N/A,jpg,334,[11/01/2025],54.6,D
122,Josh1-122,No-rarity,,5,IPhone,Color,RTM,jpg,805,[30/12/2024],55.1,C
123,Josh1-123,No-rarity,,5,Digital,Color,RTM,jpg,144,[11/02/2025],56.7,C
124,Josh1-124,No-rarity,,5,Digital,Color,N/A,jpg,232,[03/02/2025],54.5,D
125,Josh1-125,No-rarity,,5,Digital,Color,N/A,jpg,85,[08/04/2025],54.7,D
126,Josh1-126,No-rarity,,4,Digital,Color,AMS,jpg,496,[04/01/2025],58.3,C
127,Josh1-127,No-rarity,,3,Digital,Black & White,AMS,jpg,897,[28/12/2024],60.2,C
128,Josh1-128,No-rarity,,3,Digital,Black & White,RTM,jpg,462,[04/01/2025],58.2,C
129,Josh1-129,No-rarity,,3,Digital,Black & White,RTM,jpg,342,[15/01/2025],58.3,C
130,Josh1-130,No-rarity,,5,Digital,Color,RTM,jpg,148,[13/02/2025],56,C
131,Josh1-131,No-rarity,,5,Digital,Color,RTM,jpg,45,[15/11/2025],53,D
132,Josh1-132,No-rarity,,5,Digital,Black & White,RTM,jpg,159,[13/02/2025],58.2,C
133,Josh1-133,No-rarity,,5,Digital,Color,RTM,jpg,459,[09/01/2025],54.7,D
134,Josh1-134,No-rarity,,4,Digital,Color,RTM,jpg,889,[22/12/2024],54.2,D
135,Josh1-135*,No-rarity,,4,Digital,Black & White,RTM,jpg,497,[18/01/2025] [13/02/2025],57,C
136,Josh1-136,No-rarity,,3,Digital,Color,RTM,jpg,351,[12/01/2025],55.2,C
137,Josh1-137,No-rarity,,3,Digital,Color,RTM,jpg,1158,[27/12/2024],53.7,D
138,Josh1-138,No-rarity,,4,Digital,Color,RTM,jpg,1051,[24/12/2024],53.6,D
139,Josh1-139*,No-rarity,,4,Digital,Color,RTM,jpg,149,[12/04/2025] [04/05/2025],54.4,D
140,Josh1-140,No-rarity,,4,Digital,Color,RTM,jpg,283,[24/01/2025],54.7,D
141,Josh1-141,No-rarity,,5,Digital,Color,RTM,jpg,459,[09/01/2025],54,D
142,Josh1-142,No-rarity,,5,Digital,Color,RTM,jpg,NOT RELEASED,,52.9,D
143,Josh1-143,No-rarity,,5,Digital,Color,RTM,jpg,740,[03/01/2025],53.3,D
144,Josh1-144,No-rarity,,4,Digital,Color,RTM,jpg,148,[09/02/2025],55,C
145,Josh1-145,No-rarity,,5,Digital,Color,MST,jpg,856,[31/12/2024],56.2,C
146,Josh1-146,No-rarity,,5,Digital,Color,MST,jpg,142,[08/02/2025],58,C
147,Josh1-147,No-rarity,,5,Digital,Color,N/A,jpg,316,[20/01/2025],52.2,D
148,Josh1-148,No-rarity,,5,Digital,Color,N/A,jpg,413,[17/01/2025],51.8,D
149,Josh1-149,No-rarity,,4,Digital,Color,N/A,jpg,168,[07/02/2025],52.8,D
150,Josh1-150,No-rarity,,5,Digital,Color,RTM,jpg,120,[10/02/2025],54.5,D
151,Josh1-151,No-rarity,,3,Digital,Color,RTM,jpg,262,[29/01/2025],54,D
152,Josh1-152,No-rarity,,5,Digital,Color,RTM,jpg,136,[10/02/2025],54.2,D
153,Josh1-153,No-rarity,,4,Digital,Color,RTM,jpg,99,[29/03/2025],54,D
154,Josh1-154,No-rarity,,5,Digital,Color,RTM,jpg,46,[15/11/2025],50.9,D
155,Josh1-155,No-rarity,,5,IPhone,Color,BRU,jpg,49,[15/11/2025],53.4,D
156,Josh1-156,No-rarity,,3,Digital,Color,BRU,jpg,50,[15/11/2025],53.7,D
157,Josh1-157,No-rarity,,4,Digital,Color,BRU,jpg,52,[15/11/2025],53.3,D
158,Josh1-158,No-rarity,,5,Digital,Color,BRU,jpg,54,[15/11/2025],53,D
159,Josh1-159,No-rarity,,5,Digital,Color,BRU,jpg,56,[15/11/2025],52.8,D
160,Josh1-160,No-rarity,,3,Digital,Color,BRU,jpg,1112,[23/12/2024],54.4,D
161,Josh1-161,No-rarity,,4,Digital,Color,RTM,jpg,1121,[22/12/2024],51.5,D
162,Josh1-162,No-rarity,,5,Digital,Color,RTM,jpg,322,[21/01/2025],52.4,D
163,Josh1-163,No-rarity,,5,Digital,Color,RTM,jpg,936,[30/12/2024],51.2,D
164,Josh1-164,No-rarity,,3,Digital,Color,RTM,jpg,1114,[22/12/2024],51.4,D
165,Josh1-165,No-rarity,,3,Digital,Color,RTM,jpg,45,[15/11/2025],50.3,D
